epoch,train_loss,train_action_acc,train_actor_acc,train_combined_acc,val_loss,val_action_acc,val_actor_acc,val_combined_acc
1,3.1805228401314127,35.9172077922078,49.79707792207792,20.089285714285715,2.2412904903922284,46.20811287477954,72.13403880070547,37.56613756613756
2,2.1136850585024076,54.30194805194806,71.99675324675324,40.78733766233766,2.0856289477415486,57.84832451499118,72.4867724867725,46.03174603174603
3,1.5848016833717173,64.93506493506493,81.25,54.82954545454546,2.259063654382464,59.082892416225754,79.54144620811287,52.20458553791887
4,1.2462751002280743,72.68668831168831,85.87662337662337,63.75811688311688,2.4351896761168894,59.25925925925925,78.1305114638448,49.2063492063492
5,0.9501950387637337,78.61201298701299,88.92045454545455,71.1038961038961,2.4909972342806803,63.66843033509701,79.71781305114638,54.673721340388006
6,0.7791786300284522,83.72564935064936,90.3814935064935,76.74512987012987,2.9098340703148238,62.96296296296296,79.01234567901234,54.673721340388006
7,0.623230462446325,85.83603896103897,93.18181818181817,80.03246753246754,3.3498370231876913,61.552028218694886,78.1305114638448,52.38095238095239
8,0.5856954495289496,88.31168831168831,92.57305194805194,82.3051948051948,3.1616088013413925,63.66843033509701,77.77777777777779,53.79188712522046
9,0.4481218930503184,90.82792207792207,94.19642857142857,85.71428571428571,3.4104628418113143,64.72663139329806,77.07231040564373,52.910052910052904
10,0.38439130541783845,92.61363636363636,95.12987012987013,88.18993506493507,3.562375364798895,62.43386243386243,79.71781305114638,54.14462081128748
11,0.31969528584196777,93.22240259740259,96.75324675324676,90.46266233766234,3.5773879054566504,63.66843033509701,79.01234567901234,55.20282186948854
